evaluation_timepoint,alert_level,races,high_count,high_rate_pct,overall_high_rate_pct,lift
morning,LOW,169,7,4.142011834319527,9.587378640776699,0.43202756347839116
morning,NORMAL,172,15,8.720930232558139,9.587378640776699,0.9096261407123933
morning,WATCH,155,12,7.741935483870968,9.587378640776699,0.807513270722744
morning,HIGH,146,11,7.534246575342466,9.587378640776699,0.7858505288711635
morning,EXTREME,182,34,18.681318681318682,9.587378640776699,1.94853248017805
morning,HIGH+EXTREME,328,45,13.719512195121952,9.587378640776699,1.430997221364619
noon,LOW,174,7,4.022988505747127,9.587378640776699,0.4196129783209661
noon,NORMAL,175,15,8.571428571428571,9.587378640776699,0.8940325497287522
noon,WATCH,161,11,6.832298136645963,9.587378640776699,0.7126346410881359
noon,HIGH,146,18,12.32876712328767,9.587378640776699,1.2859372290619038
noon,EXTREME,168,28,16.666666666666664,9.587378640776699,1.7383966244725737
noon,HIGH+EXTREME,314,46,14.64968152866242,9.587378640776699,1.528017415141498
60m,LOW,155,7,4.516129032258064,10.078534031413612,0.4480938416422287
60m,NORMAL,162,16,9.876543209876543,10.078534031413612,0.9799583132916466
60m,WATCH,153,11,7.18954248366013,10.078534031413612,0.7133520074696545
60m,HIGH,134,12,8.955223880597014,10.078534031413612,0.8885442915293661
60m,EXTREME,160,31,19.375,10.078534031413612,1.9224025974025976
60m,HIGH+EXTREME,294,43,14.625850340136054,10.078534031413612,1.4511882675147982
50m,LOW,162,7,4.320987654320987,9.821428571428571,0.4399551066217733
50m,NORMAL,166,16,9.63855421686747,9.821428571428571,0.9813800657174152
50m,WATCH,152,11,7.236842105263158,9.821428571428571,0.736842105263158
50m,HIGH,138,11,7.971014492753622,9.821428571428571,0.8115942028985507
50m,EXTREME,166,32,19.27710843373494,9.821428571428571,1.9627601314348304
50m,HIGH+EXTREME,304,43,14.144736842105262,9.821428571428571,1.4401913875598087
40m,LOW,172,7,4.069767441860465,9.813664596273291,0.41470415072122463
40m,NORMAL,168,16,9.523809523809524,9.813664596273291,0.9704641350210971
40m,WATCH,156,13,8.333333333333332,9.813664596273291,0.8491561181434599
40m,HIGH,140,10,7.142857142857142,9.813664596273291,0.7278481012658228
40m,EXTREME,169,33,19.526627218934912,9.813664596273291,1.9897385963598233
40m,HIGH+EXTREME,309,43,13.915857605177994,9.813664596273291,1.418008274958011
30m,LOW,174,8,4.597701149425287,9.705159705159705,0.47373781463698533
30m,NORMAL,173,15,8.670520231213873,9.705159705159705,0.8933928440769737
30m,WATCH,156,13,8.333333333333332,9.705159705159705,0.8586497890295358
30m,HIGH,145,11,7.586206896551724,9.705159705159705,0.7816673941510257
30m,EXTREME,166,32,19.27710843373494,9.705159705159705,1.9862742107671192
30m,HIGH+EXTREME,311,43,13.826366559485532,9.705159705159705,1.4246408075216737
20m,LOW,181,8,4.41988950276243,9.523809523809524,0.46408839779005523
20m,NORMAL,173,15,8.670520231213873,9.523809523809524,0.9104046242774567
20m,WATCH,157,13,8.280254777070063,9.523809523809524,0.8694267515923567
20m,HIGH,148,11,7.4324324324324325,9.523809523809524,0.7804054054054055
20m,EXTREME,160,31,19.375,9.523809523809524,2.0343750000000003
20m,HIGH+EXTREME,308,42,13.636363636363635,9.523809523809524,1.4318181818181819
10m,LOW,184,8,4.3478260869565215,9.477521263669502,0.45875139353400224
10m,NORMAL,174,15,8.620689655172415,9.477521263669502,0.9095932802829355
10m,WATCH,149,13,8.724832214765101,9.477521263669502,0.9205816554809844
10m,HIGH,165,15,9.090909090909092,9.477521263669502,0.9592074592074593
10m,EXTREME,151,27,17.880794701986755,9.477521263669502,1.8866530820173204
10m,HIGH+EXTREME,316,42,13.291139240506327,9.477521263669502,1.4023855890944499
5m,LOW,174,7,4.022988505747127,9.477521263669502,0.42447686413203656
5m,NORMAL,186,15,8.064516129032258,9.477521263669502,0.8509098428453268
5m,WATCH,165,14,8.484848484848486,9.477521263669502,0.8952602952602954
5m,HIGH,153,18,11.76470588235294,9.477521263669502,1.2413273001508296
5m,EXTREME,145,24,16.551724137931036,9.477521263669502,1.7464190981432361
5m,HIGH+EXTREME,298,42,14.093959731543624,9.477521263669502,1.4870934434692824
