feature,coefficient
num__r1,-0.089664747443971
num__r2,-0.016373412764519216
num__s1,-0.06388088544191513
num__s2,-0.03187802672551851
num__rank_sum,-0.060869264931939074
num__rank_gap,0.07310667585073975
num__score_sum,-0.059436359569595504
num__score_gap,-0.04925825267693227
cat__qpair_Q1xQ1,-0.4225757781770397
cat__qpair_Q1xQ2,-0.7130604239025803
cat__qpair_Q1xQ3,-0.5445070916872553
cat__qpair_Q1xQ4,-0.7909452150909901
cat__qpair_Q2xQ2,-0.3708234921572735
cat__qpair_Q2xQ3,-0.5621118305516477
cat__qpair_Q2xQ4,-0.753102469558938
cat__qpair_Q3xQ3,-0.23889876174003274
cat__qpair_Q3xQ4,-0.8225838143439241
cat__qpair_Q4xQ4,-0.42601045271449206
