year,actual_qpair,actual_100x_races,top10_hits,top10_hit_rate_pct,median_model_rank
2025,Q1xQ1,4,2,50.0,17.25
2025,Q1xQ2,18,0,0.0,85.67
2025,Q1xQ3,26,0,0.0,30.62
2025,Q1xQ4,24,0,0.0,86.38
2025,Q2xQ2,17,9,52.9,11.88
2025,Q2xQ3,16,0,0.0,44.69
2025,Q2xQ4,17,0,0.0,92.82
2025,Q3xQ3,14,12,85.7,4.14
2025,Q3xQ4,11,0,0.0,114.36
2025,Q4xQ4,1,0,0.0,49.0
2026,Q1xQ1,1,0,0.0,13.0
2026,Q1xQ2,18,0,0.0,77.06
2026,Q1xQ3,14,0,0.0,37.21
2026,Q1xQ4,18,0,0.0,79.33
2026,Q2xQ2,4,2,50.0,10.5
2026,Q2xQ3,10,0,0.0,47.6
2026,Q2xQ4,8,0,0.0,80.75
2026,Q3xQ3,1,1,100.0,3.0
2026,Q3xQ4,9,0,0.0,119.33
